"COMPANY 
","FROM YEAR 
","TO YEAR 
","ATTACHMENT 
","**XBRL 
","ORIGINAL SUBMISSION DATE 
","LATEST REVISION DATE 
"
"Som Distilleries & Breweries Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/SDBL_11092024175451_SE_BRSRsd.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1241950_11092024055918_WEB.xml","11-Sep-2024","-"
"PTC Industries Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/PTCINDUSTRIES_11092024143412_BRSR_FY24_Exchange_file.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1241697_11092024023456_WEB.xml","11-Sep-2024","-"
"Alicon Castalloy Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/ALICON_11092024121417_Report.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1241616_11092024121431_WEB.xml","11-Sep-2024","-"
"CONFIDENCE PETROLEUM INDIA LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/CONFIPET_10092024204751_CPILBRSR202324.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1241525_10092024084821_WEB.xml","10-Sep-2024","-"
"KITEX GARMENTS LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/KITEX_10092024171313_KGL_BRSR_23_24S.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1241313_10092024051447_WEB.xml","10-Sep-2024","-"
"Strides Pharma Science Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/STRIDES_10092024162023_SEIntimation.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1241243_10092024042044_WEB.xml","10-Sep-2024","-"
"MUTHOOT FINANCE LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/MUTHOOTFIN_10092024134153_BRSRSigned.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1241134_10092024014211_WEB.xml","10-Sep-2024","-"
"TAMIL NADU NEWSPRINT & PAPERS LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/TNPL_10092024132340_44thBRSR202324CSDSC.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1241129_10092024012359_WEB.xml","10-Sep-2024","-"
"Savita Oil Technologies Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/SOTL_10092024122846_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1241111_10092024122905_WEB.xml","10-Sep-2024","-"
"RHI Magnesita India Ltd",2023,2024,"https://nsearchives.nseindia.com/corporate/RHIM_09092024194525_IntimationofBRSRreporting.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240973_09092024074914_WEB.xml","09-Sep-2024","-"
"NMDC STEEL LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/NMDCSTEEL_09092024183520_NSLBRSR2024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240924_09092024063737_WEB.xml","09-Sep-2024","-"
"Entertainment Network (India) Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/ENIL_09092024174518_ENIL20240903AnnualReport.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240828_09092024054529_WEB.xml","09-Sep-2024","-"
